trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,True,"{'a': 0, 'e': 0}",20,10,21.22080244530948,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,2,41.990721515756604,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,3,28.926065298843362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,13,20.29395593251102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,10,17.975579796358353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,0,31.795161806651965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,8,38.603261243477654,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,20,17.066679424680544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,18,17.20910796360816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,14,21.274619842948702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,9,42.16537066404156,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",30,5,43.49480422115329,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,16,28.647127695557558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,16,6.189787697827669,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
